STAN/CIS  DATUM CAS   [kg] ROZDIL TEPL
1236505 23/05/22 03   18.3  -0.1   9.2
1236505 23/05/22 00   18.4   0.1  11.8
1236505 22/05/22 21   18.3   0.3  18.0
1236505 22/05/22 18   18.0   0.1  23.5
1236505 22/05/22 15   17.9  -0.2  27.5
1236505 22/05/22 12   18.1  -0.3  21.0
1236505 22/05/22 09   18.4   0.3  13.9
1236505 22/05/22 06   18.1  -0.2   8.0
1236505 22/05/22 03   18.3  -0.1   9.2
1236505 22/05/22 00   18.4   0.1  12.0
1236505 21/05/22 21   18.3   0.1  16.0
1236505 21/05/22 18   18.2   0.1  19.4
1236505 21/05/22 15   18.1   0.1  20.8
1236505 21/05/22 12   18.0  -0.5  20.0
1236505 21/05/22 09   18.5   0.2  13.9
1236505 21/05/22 06   18.3  -0.2  13.4
1236505 21/05/22 03   18.5  -0.2  16.0
1236505 21/05/22 00   18.7  -0.9  16.1
1236505 20/05/22 21   19.6   1.7  23.9
1236505 20/05/22 18   17.9  -0.3  30.5
1236505 20/05/22 15   18.2   0.3  29.3
1236505 20/05/22 12   17.9   0.0  25.4
1236505 20/05/22 09   17.9   0.2  18.2
1236505 20/05/22 06   17.7  -0.2  14.2
1236505 20/05/22 03   17.9  -0.2  16.4
1236505 20/05/22 00   18.1   0.5  18.8
1236505 19/05/22 21   17.6   1.0  22.8
1236505 19/05/22 18   16.6   0.7  28.6
1236505 19/05/22 15   15.9   0.3  31.7
1236505 19/05/22 12   15.6  -0.7  27.2
1236505 19/05/22 09   16.3   0.1  14.0
1236505 19/05/22 06   16.2  -0.2   8.6
1236505 19/05/22 03   16.4  -0.1  10.9
1236505 19/05/22 00   16.5   0.2  13.8
1236505 18/05/22 21   16.3   0.7  20.0
1236505 18/05/22 18   15.6   0.4  25.7
1236505 18/05/22 15   15.2   0.1  26.0
1236505 18/05/22 12   15.1  -0.5  25.2
1236505 18/05/22 09   15.6   0.3  14.4
1236505 18/05/22 06   15.3  -0.2  10.0
1236505 18/05/22 03   15.5  -0.1  10.4
1236505 18/05/22 00   15.6  -0.1  12.9
1236505 17/05/22 21   15.7   0.2  15.6
1236505 17/05/22 18   15.5  -0.2  22.8
1236505 17/05/22 15   15.7   0.5  22.6
